from_date,item_descr,amount
2016-04-01,Menü 3,132
2016-04-04,Menü 1,68
2016-04-04,Menü 2,151
2016-04-04,Menü 3,177
2016-04-05,Menü 1,126
2016-04-05,Menü 2,117
2016-04-05,Menü 3,145
2016-04-06,Menü 1,89
2016-04-06,Menü 2,68
2016-04-06,Menü 3,259
2016-04-07,Menü 1,95
2016-04-07,Menü 2,71
2016-04-07,Menü 3,213
2016-04-08,Menü 1,35
2016-04-08,Menü 2,159
2016-04-08,Menü 3,145
2016-04-11,Menü 1,80
2016-04-11,Menü 2,162
2016-04-11,Menü 3,130
2016-04-12,Menü 1,114
2016-04-12,Menü 2,145
2016-04-12,Menü 3,88
2016-04-13,Menü 1,67
2016-04-13,Menü 2,129
2016-04-13,Menü 3,218
2016-04-14,Menü 1,132
2016-04-14,Menü 2,80
2016-04-14,Menü 3,167
2016-04-15,Menü 1,132
2016-04-15,Menü 2,61
2016-04-15,Menü 3,94
2016-04-18,Menü 1,106
2016-04-18,Menü 2,69
2016-04-18,Menü 3,180
2016-04-19,Menü 1,79
2016-04-19,Menü 2,151
2016-04-19,Menü 3,129
2016-04-20,Menü 1,79
2016-04-20,Menü 2,46
2016-04-20,Menü 3,252
2016-04-21,Menü 1,67
2016-04-21,Menü 2,166
2016-04-21,Menü 3,140
2016-04-22,Menü 1,32
2016-04-22,Menü 2,73
2016-04-22,Menü 3,140
2016-04-25,Menü 1,53
2016-04-25,Menü 2,105
2016-04-25,Menü 3,216
2016-04-26,Menü 1,76
2016-04-26,Menü 2,135
2016-04-26,Menü 3,182
2016-04-27,Menü 1,158
2016-04-27,Menü 2,109
2016-04-27,Menü 3,158
2016-04-28,Menü 1,65
2016-04-28,Menü 2,70
2016-04-28,Menü 3,335
2016-04-29,Menü 1,150
2016-04-29,Menü 2,129
2016-04-29,Menü 3,103
2016-05-02,Menü 1,180
2016-05-02,Menü 2,49
2016-05-02,Menü 3,104
2016-05-03,Menü 1,144
2016-05-03,Menü 2,180
2016-05-03,Menü 3,104
2016-05-04,Menü 1,31
2016-05-04,Menü 2,119
2016-05-04,Menü 3,241
2016-05-09,Menü 1,48
2016-05-09,Menü 2,155
2016-05-09,Menü 3,148
2016-05-10,Menü 1,116
2016-05-10,Menü 2,139
2016-05-10,Menü 3,106
2016-05-11,Menü 1,97
2016-05-11,Menü 2,126
2016-05-11,Menü 3,196
2016-05-12,Menü 1,68
2016-05-12,Menü 2,97
2016-05-12,Menü 3,159
