from_date,item_descr,amount
2017-04-04,Menü 3,211
2017-04-05,Menü 1,72
2017-04-05,Menü 2,106
2017-04-05,Menü 3,221
2017-04-06,Menü 1,56
2017-04-06,Menü 2,184
2017-04-06,Menü 3,137
2017-04-07,Menü 1,122
2017-04-07,Menü 2,86
2017-04-07,Menü 3,93
2017-04-10,Menü 1,88
2017-04-10,Menü 2,68
2017-04-10,Menü 3,152
2017-04-11,Menü 1,72
2017-04-11,Menü 2,149
2017-04-11,Menü 3,172
2017-04-12,Menü 1,97
2017-04-12,Menü 2,100
2017-04-12,Menü 3,202
2017-04-13,Menü 1,112
2017-04-13,Menü 2,101
2017-04-13,Menü 3,155
2017-04-18,Menü 1,101
2017-04-18,Menü 2,100
2017-04-18,Menü 3,115
2017-04-19,Menü 1,89
2017-04-19,Menü 2,98
2017-04-19,Menü 3,230
2017-04-20,Menü 1,49
2017-04-20,Menü 2,65
2017-04-20,Menü 3,274
2017-04-21,Menü 1,99
2017-04-21,Menü 2,80
2017-04-21,Menü 3,146
2017-04-24,Menü 1,112
2017-04-24,Menü 2,123
2017-04-24,Menü 3,134
2017-04-25,Menü 1,66
2017-04-25,Menü 2,139
2017-04-25,Menü 3,169
2017-04-26,Menü 1,64
2017-04-26,Menü 2,260
2017-04-26,Menü 3,149
2017-04-27,Menü 1,42
2017-04-27,Menü 2,206
2017-04-27,Menü 3,170
2017-04-28,Menü 1,132
2017-04-28,Menü 2,102
2017-04-28,Menü 3,189
2017-05-02,Menü 1,78
2017-05-02,Menü 2,151
2017-05-02,Menü 3,160
2017-05-03,Menü 1,111
2017-05-03,Menü 2,193
2017-05-03,Menü 3,126
2017-05-04,Menü 1,98
2017-05-04,Menü 2,107
2017-05-04,Menü 3,164
2017-05-05,Menü 1,105
2017-05-05,Menü 2,155
2017-05-05,Menü 3,145
2017-05-08,Menü 1,52
2017-05-08,Menü 2,186
2017-05-08,Menü 3,133
2017-05-09,Menü 1,66
2017-05-09,Menü 2,136
2017-05-09,Menü 3,219
2017-05-10,Menü 1,75
2017-05-10,Menü 2,101
2017-05-10,Menü 3,281
2017-05-11,Menü 1,64
2017-05-11,Menü 2,126
2017-05-11,Menü 3,171
2017-05-12,Menü 1,106
2017-05-12,Menü 2,70
2017-05-12,Menü 3,132
2017-05-15,Menü 1,87
2017-05-15,Menü 2,75
2017-05-15,Menü 3,178
2017-05-16,Menü 1,136
2017-05-16,Menü 2,102
2017-05-16,Menü 3,131
2017-05-17,Menü 1,72
2017-05-17,Menü 2,86
2017-05-17,Menü 3,233
2017-05-18,Menü 1,77
2017-05-18,Menü 2,88
2017-05-18,Menü 3,171
2017-05-19,Menü 1,135
2017-05-19,Menü 2,64
2017-05-19,Menü 3,93
2017-05-22,Menü 1,105
2017-05-22,Menü 2,113
2017-05-22,Menü 3,171
2017-05-23,Menü 1,63
2017-05-23,Menü 2,116
2017-05-23,Menü 3,188
2017-05-24,Menü 1,125
2017-05-24,Menü 2,120
2017-05-24,Menü 3,226
2017-05-29,Menü 1,65
2017-05-29,Menü 2,95
2017-05-29,Menü 3,139
2017-05-30,Menü 1,75
2017-05-30,Menü 2,108
2017-05-30,Menü 3,170
2017-05-31,Menü 1,109
2017-05-31,Menü 2,82
2017-05-31,Menü 3,280
2017-06-01,Menü 1,48
2017-06-01,Menü 2,145
2017-06-01,Menü 3,170
2017-06-02,Menü 1,111
2017-06-02,Menü 2,60
2017-06-02,Menü 3,106
2017-06-06,Menü 1,40
2017-06-06,Menü 2,119
2017-06-06,Menü 3,179
2017-06-07,Menü 1,105
2017-06-07,Menü 2,84
2017-06-07,Menü 3,174
2017-06-08,Menü 1,43
2017-06-08,Menü 2,140
2017-06-08,Menü 3,146
2017-06-09,Menü 1,103
2017-06-09,Menü 2,58
2017-06-09,Menü 3,127
2017-06-12,Menü 1,50
2017-06-12,Menü 2,158
2017-06-12,Menü 3,104
2017-06-13,Menü 1,46
2017-06-13,Menü 2,125
2017-06-13,Menü 3,185
2017-06-14,Menü 1,54
2017-06-14,Menü 2,68
2017-06-14,Menü 3,210
2017-06-19,Menü 1,152
2017-06-19,Menü 2,59
2017-06-19,Menü 3,135
2017-06-20,Menü 1,67
2017-06-20,Menü 2,124
2017-06-20,Menü 3,114
2017-06-21,Menü 1,100
2017-06-21,Menü 2,106
2017-06-21,Menü 3,164
2017-06-22,Menü 1,117
2017-06-22,Menü 2,75
2017-06-22,Menü 3,191
2017-06-23,Menü 1,125
2017-06-23,Menü 2,84
2017-06-23,Menü 3,115
2017-06-26,Menü 1,129
2017-06-26,Menü 2,143
2017-06-26,Menü 3,176
2017-06-27,Menü 1,67
2017-06-27,Menü 2,141
2017-06-27,Menü 3,174
2017-06-28,Menü 1,135
2017-06-28,Menü 2,87
2017-06-28,Menü 3,240
2017-06-29,Menü 1,52
2017-06-29,Menü 2,196
2017-06-29,Menü 3,127
2017-06-30,Menü 1,69
2017-06-30,Menü 2,65
2017-06-30,Menü 3,201
2017-07-03,Menü 1,68
2017-07-03,Menü 2,130
2017-07-03,Menü 3,159
2017-07-04,Menü 1,64
2017-07-04,Menü 2,121
2017-07-04,Menü 3,204
2017-07-05,Menü 1,109
2017-07-05,Menü 2,93
2017-07-05,Menü 3,246
2017-07-06,Menü 1,78
2017-07-06,Menü 2,131
2017-07-06,Menü 3,197
2017-07-07,Menü 1,83
2017-07-07,Menü 2,43
2017-07-07,Menü 3,186
2017-07-10,Menü 1,102
2017-07-10,Menü 2,117
2017-07-10,Menü 3,127
2017-07-11,Menü 1,96
2017-07-11,Menü 2,108
2017-07-11,Menü 3,161
2017-07-12,Menü 1,102
2017-07-12,Menü 2,107
2017-07-12,Menü 3,219
2017-07-13,Menü 1,47
2017-07-13,Menü 2,81
2017-07-13,Menü 3,205
2017-07-14,Menü 1,128
2017-07-14,Menü 2,169
2017-07-14,Menü 3,45
2017-07-17,Menü 1,98
2017-07-17,Menü 2,192
2017-07-17,Menü 3,109
2017-07-18,Menü 1,99
2017-07-18,Menü 2,126
2017-07-18,Menü 3,160
2017-07-19,Menü 1,145
2017-07-19,Menü 2,100
2017-07-19,Menü 3,192
2017-07-20,Menü 1,61
2017-07-20,Menü 2,113
2017-07-20,Menü 3,187
2017-07-21,Menü 1,124
2017-07-21,Menü 2,70
2017-07-21,Menü 3,96
2017-07-24,Menü 1,85
2017-07-24,Menü 2,176
2017-07-24,Menü 3,101
2017-07-25,Menü 1,49
2017-07-25,Menü 2,122
2017-07-25,Menü 3,207
2017-07-26,Menü 1,91
2017-07-26,Menü 2,112
2017-07-26,Menü 3,222
2017-07-27,Menü 1,99
2017-07-27,Menü 2,129
2017-07-27,Menü 3,101
2017-07-28,Menü 1,146
2017-07-28,Menü 2,91
2017-07-28,Menü 3,93
2017-07-31,Menü 1,79
2017-07-31,Menü 2,149
2017-07-31,Menü 3,84
2017-08-01,Menü 1,40
2017-08-01,Menü 2,142
2017-08-01,Menü 3,202
2017-08-02,Menü 1,134
2017-08-02,Menü 2,190
2017-08-02,Menü 3,84
2017-08-03,Menü 1,113
2017-08-03,Menü 2,76
2017-08-03,Menü 3,227
2017-08-04,Menü 1,44
2017-08-04,Menü 2,36
2017-08-04,Menü 3,254
2017-08-07,Menü 1,102
2017-08-07,Menü 2,159
2017-08-07,Menü 3,96
2017-08-08,Menü 1,70
2017-08-08,Menü 2,109
2017-08-08,Menü 3,168
2017-08-09,Menü 1,84
2017-08-09,Menü 2,114
2017-08-09,Menü 3,236
2017-08-10,Menü 1,130
2017-08-10,Menü 2,89
2017-08-10,Menü 3,141
2017-08-11,Menü 1,77
2017-08-11,Menü 2,127
2017-08-11,Menü 3,145
2017-08-14,Menü 1,41
2017-08-14,Menü 2,90
2017-08-14,Menü 3,134
2017-08-15,Menü 1,57
2017-08-15,Menü 2,94
2017-08-15,Menü 3,144
2017-08-16,Menü 1,91
2017-08-16,Menü 2,92
2017-08-16,Menü 3,222
2017-08-17,Menü 1,50
2017-08-17,Menü 2,149
2017-08-17,Menü 3,161
2017-08-18,Menü 1,112
2017-08-18,Menü 2,118
2017-08-18,Menü 3,98
2017-08-21,Menü 1,71
2017-08-21,Menü 2,114
2017-08-21,Menü 3,126
2017-08-22,Menü 1,58
2017-08-22,Menü 2,113
2017-08-22,Menü 3,109
2017-08-23,Menü 1,81
2017-08-23,Menü 2,112
2017-08-23,Menü 3,182
2017-08-24,Menü 1,117
2017-08-24,Menü 2,82
2017-08-24,Menü 3,118
2017-08-25,Menü 1,64
2017-08-25,Menü 2,51
2017-08-25,Menü 3,97
2017-08-28,Menü 1,124
2017-08-28,Menü 2,140
2017-08-28,Menü 3,65
2017-08-29,Menü 1,49
2017-08-29,Menü 2,102
2017-08-29,Menü 3,169
2017-08-30,Menü 1,48
2017-08-30,Menü 2,67
2017-08-30,Menü 3,238
2017-08-31,Menü 1,79
2017-08-31,Menü 2,114
2017-08-31,Menü 3,133
2017-09-01,Menü 1,55
2017-09-01,Menü 2,64
2017-09-01,Menü 3,139
2017-09-04,Menü 1,68
2017-09-04,Menü 2,129
2017-09-04,Menü 3,152
2017-09-05,Menü 1,102
2017-09-05,Menü 2,80
2017-09-05,Menü 3,126
2017-09-06,Menü 1,76
2017-09-06,Menü 2,161
2017-09-06,Menü 3,146
2017-09-07,Menü 1,95
2017-09-07,Menü 2,52
2017-09-07,Menü 3,200
2017-09-08,Menü 1,149
2017-09-08,Menü 2,56
2017-09-08,Menü 3,77
2017-09-11,Menü 1,83
2017-09-11,Menü 2,200
2017-09-11,Menü 3,110
2017-09-12,Menü 1,77
2017-09-12,Menü 2,159
2017-09-12,Menü 3,194
2017-09-13,Menü 1,78
2017-09-13,Menü 2,149
2017-09-13,Menü 3,214
2017-09-14,Menü 1,86
2017-09-14,Menü 2,86
2017-09-14,Menü 3,138
2017-09-15,Menü 1,96
2017-09-15,Menü 2,60
2017-09-15,Menü 3,152
2017-09-18,Menü 1,92
2017-09-18,Menü 2,118
2017-09-18,Menü 3,202
2017-09-19,Menü 1,84
2017-09-19,Menü 2,119
2017-09-19,Menü 3,160
2017-09-20,Menü 1,57
2017-09-20,Menü 2,130
2017-09-20,Menü 3,203
2017-09-21,Menü 1,16
2017-09-21,Menü 2,131
2017-09-21,Menü 3,249
2017-09-22,Menü 1,118
2017-09-22,Menü 2,63
2017-09-22,Menü 3,70
2017-09-25,Menü 1,42
2017-09-25,Menü 2,161
2017-09-25,Menü 3,154
2017-09-26,Menü 1,55
2017-09-26,Menü 2,151
2017-09-26,Menü 3,141
2017-09-27,Menü 1,107
2017-09-27,Menü 2,135
2017-09-27,Menü 3,140
2017-09-28,Menü 1,79
2017-09-28,Menü 2,167
2017-09-28,Menü 3,149
2017-09-29,Menü 1,123
2017-09-29,Menü 2,59
2017-09-29,Menü 3,93
2017-10-04,Menü 1,68
2017-10-04,Menü 2,109
2017-10-04,Menü 3,212
2017-10-05,Menü 1,66
2017-10-05,Menü 2,172
2017-10-05,Menü 3,174
2017-10-06,Menü 1,70
2017-10-06,Menü 2,142
2017-10-06,Menü 3,132
2017-10-09,Menü 1,66
2017-10-09,Menü 2,201
2017-10-09,Menü 3,118
2017-10-10,Menü 1,73
2017-10-10,Menü 2,121
2017-10-10,Menü 3,179
2017-10-11,Menü 1,50
2017-10-11,Menü 2,120
2017-10-11,Menü 3,267
2017-10-12,Menü 1,87
2017-10-12,Menü 2,246
2017-10-12,Menü 3,129
2017-10-13,Menü 1,108
2017-10-13,Menü 2,98
2017-10-13,Menü 3,152
2017-10-16,Menü 1,89
2017-10-16,Menü 2,189
2017-10-16,Menü 3,119
2017-10-17,Menü 1,174
2017-10-17,Menü 2,94
2017-10-17,Menü 3,162
2017-10-18,Menü 1,63
2017-10-18,Menü 2,130
2017-10-18,Menü 3,240
2017-10-19,Menü 1,85
2017-10-19,Menü 2,159
2017-10-19,Menü 3,126
2017-10-20,Menü 1,94
2017-10-20,Menü 2,53
2017-10-20,Menü 3,117
2017-10-23,Menü 1,149
2017-10-23,Menü 2,128
2017-10-23,Menü 3,141
2017-10-24,Menü 1,57
2017-10-24,Menü 2,146
2017-10-24,Menü 3,145
2017-10-25,Menü 1,92
2017-10-25,Menü 2,75
2017-10-25,Menü 3,219
2017-10-26,Menü 1,89
2017-10-26,Menü 2,202
2017-10-26,Menü 3,54
2017-10-27,Menü 1,101
2017-10-27,Menü 2,79
2017-10-27,Menü 3,149
2017-11-02,Menü 1,48
2017-11-02,Menü 2,92
2017-11-02,Menü 3,167
2017-11-03,Menü 1,107
2017-11-03,Menü 2,54
2017-11-03,Menü 3,65
2017-11-06,Menü 1,70
2017-11-06,Menü 2,149
2017-11-06,Menü 3,199
2017-11-07,Menü 1,85
2017-11-07,Menü 2,126
2017-11-07,Menü 3,170
2017-11-08,Menü 1,79
2017-11-08,Menü 2,105
2017-11-08,Menü 3,265
2017-11-09,Menü 1,108
2017-11-09,Menü 2,98
2017-11-09,Menü 3,121
2017-11-10,Menü 1,62
2017-11-10,Menü 2,76
2017-11-10,Menü 3,192
2017-11-13,Menü 1,59
2017-11-13,Menü 2,157
2017-11-13,Menü 3,161
2017-11-14,Menü 1,39
2017-11-14,Menü 2,133
2017-11-14,Menü 3,252
2017-11-15,Menü 1,74
2017-11-15,Menü 2,95
2017-11-15,Menü 3,267
2017-11-16,Menü 1,50
2017-11-16,Menü 2,112
2017-11-16,Menü 3,259
2017-11-17,Menü 1,101
2017-11-17,Menü 2,174
2017-11-17,Menü 3,111
2017-11-20,Menü 1,123
2017-11-20,Menü 2,133
2017-11-20,Menü 3,133
2017-11-21,Menü 1,64
2017-11-21,Menü 2,160
2017-11-21,Menü 3,147
2017-11-22,Menü 1,85
2017-11-22,Menü 2,137
2017-11-22,Menü 3,247
2017-11-23,Menü 1,130
2017-11-23,Menü 2,105
2017-11-23,Menü 3,161
2017-11-24,Menü 1,124
2017-11-24,Menü 2,102
2017-11-24,Menü 3,75
2017-11-27,Menü 1,80
2017-11-27,Menü 2,83
2017-11-27,Menü 3,182
2017-11-28,Menü 1,69
2017-11-28,Menü 2,136
2017-11-28,Menü 3,188
2017-11-29,Menü 1,58
2017-11-29,Menü 2,197
2017-11-29,Menü 3,193
2017-11-30,Menü 1,70
2017-11-30,Menü 2,174
2017-11-30,Menü 3,207
2017-12-01,Menü 1,107
2017-12-01,Menü 2,107
2017-12-01,Menü 3,104
2017-12-04,Menü 1,88
2017-12-04,Menü 2,131
2017-12-04,Menü 3,216
2017-12-05,Menü 1,71
2017-12-05,Menü 2,125
2017-12-05,Menü 3,228
2017-12-06,Menü 1,108
2017-12-06,Menü 2,149
2017-12-06,Menü 3,195
2017-12-07,Menü 1,85
2017-12-07,Menü 2,242
2017-12-07,Menü 3,172
2017-12-08,Menü 1,66
2017-12-08,Menü 2,164
2017-12-08,Menü 3,119
2017-12-11,Menü 1,67
2017-12-11,Menü 2,166
2017-12-11,Menü 3,193
2017-12-12,Menü 1,138
2017-12-12,Menü 2,48
2017-12-12,Menü 3,349
2017-12-13,Menü 1,81
2017-12-13,Menü 2,154
2017-12-13,Menü 3,225
2017-12-14,Menü 1,145
2017-12-14,Menü 2,110
2017-12-14,Menü 3,213
2017-12-15,Menü 1,106
2017-12-15,Menü 2,75
2017-12-15,Menü 3,133
2017-12-18,Menü 1,63
2017-12-18,Menü 2,176
2017-12-18,Menü 3,142
2017-12-19,Menü 1,46
2017-12-19,Menü 2,184
2017-12-19,Menü 3,181
2017-12-20,Menü 1,112
2017-12-20,Menü 2,104
2017-12-20,Menü 3,198
2017-12-21,Menü 1,49
2017-12-21,Menü 2,56
2017-12-21,Menü 3,237
2017-12-22,Menü 1,35
2017-12-22,Menü 2,29
2017-12-22,Menü 3,80
2018-01-02,Menü 1,63
2018-01-02,Menü 2,95
2018-01-02,Menü 3,87
2018-01-03,Menü 1,63
2018-01-03,Menü 2,54
2018-01-03,Menü 3,171
2018-01-04,Menü 1,92
2018-01-04,Menü 2,120
2018-01-04,Menü 3,79
2018-01-05,Menü 1,64
2018-01-05,Menü 2,53
2018-01-05,Menü 3,87
2018-01-08,Menü 1,100
2018-01-08,Menü 2,135
2018-01-08,Menü 3,148
2018-01-09,Menü 1,107
2018-01-09,Menü 2,101
2018-01-09,Menü 3,213
2018-01-10,Menü 1,59
2018-01-10,Menü 2,104
2018-01-10,Menü 3,258
2018-01-11,Menü 1,63
2018-01-11,Menü 2,102
2018-01-11,Menü 3,180
2018-01-12,Menü 1,108
2018-01-12,Menü 2,51
2018-01-12,Menü 3,153
2018-01-15,Menü 1,55
2018-01-15,Menü 2,135
2018-01-15,Menü 3,184
2018-01-16,Menü 1,88
2018-01-16,Menü 2,140
2018-01-16,Menü 3,172
2018-01-17,Menü 1,84
2018-01-17,Menü 2,228
2018-01-17,Menü 3,184
2018-01-18,Menü 1,98
2018-01-18,Menü 2,76
2018-01-18,Menü 3,275
2018-01-19,Menü 1,106
2018-01-19,Menü 2,154
2018-01-19,Menü 3,115
2018-01-22,Menü 1,168
2018-01-22,Menü 2,97
2018-01-22,Menü 3,129
2018-01-23,Menü 1,65
2018-01-23,Menü 2,129
2018-01-23,Menü 3,145
2018-01-24,Menü 1,108
2018-01-24,Menü 2,98
2018-01-24,Menü 3,213
2018-01-25,Menü 1,102
2018-01-25,Menü 2,163
2018-01-25,Menü 3,119
2018-01-26,Menü 1,57
2018-01-26,Menü 2,82
2018-01-26,Menü 3,176
2018-01-29,Menü 1,66
2018-01-29,Menü 2,209
2018-01-29,Menü 3,77
2018-01-30,Menü 1,33
2018-01-30,Menü 2,135
2018-01-30,Menü 3,214
2018-01-31,Menü 1,96
2018-01-31,Menü 2,102
2018-01-31,Menü 3,234
2018-02-01,Menü 1,88
2018-02-01,Menü 2,166
2018-02-01,Menü 3,134
2018-02-02,Menü 1,111
2018-02-02,Menü 2,100
2018-02-02,Menü 3,110
2018-02-05,Menü 1,139
2018-02-05,Menü 2,169
2018-02-05,Menü 3,120
2018-02-06,Menü 1,52
2018-02-06,Menü 2,132
2018-02-06,Menü 3,169
2018-02-07,Menü 1,104
2018-02-07,Menü 2,126
2018-02-07,Menü 3,224
2018-02-08,Menü 1,111
2018-02-08,Menü 2,63
2018-02-08,Menü 3,242
2018-02-09,Menü 1,62
2018-02-09,Menü 2,76
2018-02-09,Menü 3,155
2018-02-12,Menü 1,93
2018-02-12,Menü 2,55
2018-02-12,Menü 3,154
2018-02-13,Menü 1,142
2018-02-13,Menü 2,66
2018-02-13,Menü 3,97
2018-02-14,Menü 1,90
2018-02-14,Menü 2,89
2018-02-14,Menü 3,211
2018-02-15,Menü 1,33
2018-02-15,Menü 2,133
2018-02-15,Menü 3,168
2018-02-16,Menü 1,36
2018-02-16,Menü 2,148
2018-02-16,Menü 3,94
2018-02-19,Menü 1,155
2018-02-19,Menü 2,97
2018-02-19,Menü 3,131
2018-02-20,Menü 1,60
2018-02-20,Menü 2,133
2018-02-20,Menü 3,141
2018-02-21,Menü 1,117
2018-02-21,Menü 2,101
2018-02-21,Menü 3,238
2018-02-22,Menü 1,125
2018-02-22,Menü 2,101
2018-02-22,Menü 3,182
2018-02-23,Menü 1,57
2018-02-23,Menü 2,145
2018-02-23,Menü 3,148
2018-02-26,Menü 1,50
2018-02-26,Menü 2,171
2018-02-26,Menü 3,109
2018-02-27,Menü 1,85
2018-02-27,Menü 2,108
2018-02-27,Menü 3,170
2018-02-28,Menü 1,87
2018-02-28,Menü 2,85
2018-02-28,Menü 3,249
2018-03-01,Menü 1,88
2018-03-01,Menü 2,130
2018-03-01,Menü 3,168
2018-03-02,Menü 1,56
2018-03-02,Menü 2,149
2018-03-02,Menü 3,156
2018-03-05,Menü 1,68
2018-03-05,Menü 2,166
2018-03-05,Menü 3,151
2018-03-06,Menü 1,60
2018-03-06,Menü 2,109
2018-03-06,Menü 3,215
2018-03-07,Menü 1,116
2018-03-07,Menü 2,69
2018-03-07,Menü 3,237
2018-03-08,Menü 1,62
2018-03-08,Menü 2,112
2018-03-08,Menü 3,183
2018-03-09,Menü 1,91
2018-03-09,Menü 2,105
2018-03-09,Menü 3,67
2018-03-12,Menü 1,61
2018-03-12,Menü 2,75
2018-03-12,Menü 3,188
2018-03-13,Menü 1,62
2018-03-13,Menü 2,139
2018-03-13,Menü 3,154
2018-03-14,Menü 1,88
2018-03-14,Menü 2,140
2018-03-14,Menü 3,179
2018-03-15,Menü 1,74
2018-03-15,Menü 2,113
2018-03-15,Menü 3,241
2018-03-16,Menü 1,61
2018-03-16,Menü 2,156
2018-03-16,Menü 3,151
2018-03-19,Menü 1,112
2018-03-19,Menü 2,87
2018-03-19,Menü 3,107
2018-03-20,Menü 1,94
2018-03-20,Menü 2,115
2018-03-20,Menü 3,178
2018-03-21,Menü 1,80
2018-03-21,Menü 2,193
2018-03-21,Menü 3,184
2018-03-22,Menü 1,114
2018-03-22,Menü 2,118
2018-03-22,Menü 3,125
2018-03-23,Menü 1,128
2018-03-23,Menü 2,69
2018-03-23,Menü 3,118
2018-03-26,Menü 1,48
2018-03-26,Menü 2,133
2018-03-26,Menü 3,166
2018-03-27,Menü 1,81
2018-03-27,Menü 2,165
2018-03-27,Menü 3,177
2018-03-28,Menü 1,104
2018-03-28,Menü 2,84
2018-03-28,Menü 3,259
2018-03-29,Menü 1,92
2018-03-29,Menü 2,164
2018-03-29,Menü 3,73
2018-04-03,Menü 1,39
2018-04-03,Menü 2,122
2018-04-03,Menü 3,186
2018-04-04,Menü 1,53
2018-04-04,Menü 2,79
2018-04-04,Menü 3,209
2018-04-05,Menü 1,95
2018-04-05,Menü 2,127
2018-04-05,Menü 3,145
2018-04-06,Menü 1,129
2018-04-06,Menü 2,52
2018-04-06,Menü 3,94
2018-04-09,Menü 1,115
2018-04-09,Menü 2,83
2018-04-09,Menü 3,143
2018-04-10,Menü 1,180
2018-04-10,Menü 2,86
2018-04-10,Menü 3,137
2018-04-11,Menü 1,86
2018-04-11,Menü 2,129
2018-04-11,Menü 3,260
2018-04-12,Menü 1,85
2018-04-12,Menü 2,97
2018-04-12,Menü 3,214
2018-04-13,Menü 1,95
2018-04-13,Menü 2,125
2018-04-13,Menü 3,127
2018-04-16,Menü 1,132
2018-04-16,Menü 2,119
2018-04-16,Menü 3,137
2018-04-17,Menü 1,85
2018-04-17,Menü 2,87
2018-04-17,Menü 3,218
2018-04-18,Menü 1,80
2018-04-18,Menü 2,121
2018-04-18,Menü 3,171
2018-04-19,Menü 1,310
2018-04-19,Menü 2,105
2018-04-19,Menü 3,137
2018-04-20,Menü 1,64
2018-04-20,Menü 2,80
2018-04-20,Menü 3,145
2018-04-23,Menü 1,107
2018-04-23,Menü 2,126
2018-04-23,Menü 3,156
2018-04-24,Menü 1,70
2018-04-24,Menü 2,119
2018-04-24,Menü 3,178
2018-04-25,Menü 1,154
2018-04-25,Menü 2,88
2018-04-25,Menü 3,198
2018-04-26,Menü 1,61
2018-04-26,Menü 2,130
2018-04-26,Menü 3,170
2018-04-27,Menü 1,62
2018-04-27,Menü 2,164
2018-04-27,Menü 3,111
2018-05-02,Menü 1,55
2018-05-02,Menü 2,153
2018-05-02,Menü 3,214
2018-05-03,Menü 1,86
2018-05-03,Menü 2,149
2018-05-03,Menü 3,181
2018-05-04,Menü 1,106
2018-05-04,Menü 2,76
2018-05-04,Menü 3,142
2018-05-07,Menü 1,130
2018-05-07,Menü 2,104
2018-05-07,Menü 3,134
2018-05-08,Menü 1,82
2018-05-08,Menü 2,161
2018-05-08,Menü 3,183
2018-05-09,Menü 1,75
2018-05-09,Menü 2,130
2018-05-09,Menü 3,172
2018-05-14,Menü 1,112
2018-05-14,Menü 2,147
2018-05-14,Menü 3,81
2018-05-15,Menü 1,74
2018-05-15,Menü 2,145
2018-05-15,Menü 3,125
2018-05-16,Menü 1,115
2018-05-16,Menü 2,137
2018-05-16,Menü 3,219
2018-05-17,Menü 1,51
2018-05-17,Menü 2,95
2018-05-17,Menü 3,282
2018-05-18,Menü 1,124
2018-05-18,Menü 2,73
2018-05-18,Menü 3,115
2018-05-22,Menü 1,41
2018-05-22,Menü 2,133
2018-05-22,Menü 3,162
2018-05-23,Menü 1,114
2018-05-23,Menü 2,64
2018-05-23,Menü 3,212
2018-05-24,Menü 1,100
2018-05-24,Menü 2,111
2018-05-24,Menü 3,134
2018-05-25,Menü 1,108
2018-05-25,Menü 2,103
2018-05-25,Menü 3,116
2018-05-28,Menü 1,110
2018-05-28,Menü 2,89
2018-05-28,Menü 3,144
2018-05-29,Menü 1,58
2018-05-29,Menü 2,113
2018-05-29,Menü 3,130
2018-05-30,Menü 1,128
2018-05-30,Menü 2,67
2018-05-30,Menü 3,162
2018-06-04,Menü 1,77
2018-06-04,Menü 2,132
2018-06-04,Menü 3,84
2018-06-05,Menü 1,95
2018-06-05,Menü 2,120
2018-06-05,Menü 3,123
2018-06-06,Menü 1,116
2018-06-06,Menü 2,91
2018-06-06,Menü 3,193
2018-06-07,Menü 1,46
2018-06-07,Menü 2,121
2018-06-07,Menü 3,184
2018-06-08,Menü 1,105
2018-06-08,Menü 2,71
2018-06-08,Menü 3,146
2018-06-11,Menü 1,102
2018-06-11,Menü 2,98
2018-06-11,Menü 3,154
2018-06-12,Menü 1,97
2018-06-12,Menü 2,105
2018-06-12,Menü 3,187
2018-06-13,Menü 1,77
2018-06-13,Menü 2,110
2018-06-13,Menü 3,235
2018-06-14,Menü 1,107
2018-06-14,Menü 2,91
2018-06-14,Menü 3,151
2018-06-15,Menü 1,64
2018-06-15,Menü 2,108
2018-06-15,Menü 3,117
2018-06-18,Menü 1,83
2018-06-18,Menü 2,214
2018-06-18,Menü 3,110
2018-06-19,Menü 1,51
2018-06-19,Menü 2,163
2018-06-19,Menü 3,200
2018-06-20,Menü 1,85
2018-06-20,Menü 2,91
2018-06-20,Menü 3,258
2018-06-21,Menü 1,93
2018-06-21,Menü 2,146
2018-06-21,Menü 3,117
2018-06-22,Menü 1,96
2018-06-22,Menü 2,89
2018-06-22,Menü 3,126
2018-06-25,Menü 1,163
2018-06-25,Menü 2,131
2018-06-25,Menü 3,166
2018-06-26,Menü 1,79
2018-06-26,Menü 2,150
2018-06-26,Menü 3,193
2018-06-27,Menü 1,110
2018-06-27,Menü 2,85
2018-06-27,Menü 3,241
2018-06-28,Menü 1,70
2018-06-28,Menü 2,100
2018-06-28,Menü 3,280
2018-06-29,Menü 1,19
2018-06-29,Menü 2,122
2018-06-29,Menü 3,72
2018-07-02,Menü 1,91
2018-07-02,Menü 2,50
2018-07-02,Menü 3,144
2018-07-03,Menü 1,119
2018-07-03,Menü 2,129
2018-07-03,Menü 3,121
2018-07-04,Menü 1,118
2018-07-04,Menü 2,171
2018-07-04,Menü 3,108
2018-07-05,Menü 1,96
2018-07-05,Menü 2,254
2018-07-05,Menü 3,44
2018-07-06,Menü 1,77
2018-07-06,Menü 2,266
2018-07-06,Menü 3,96
2018-07-09,Menü 1,124
2018-07-09,Menü 2,138
2018-07-09,Menü 3,146
2018-07-10,Menü 1,92
2018-07-10,Menü 2,163
2018-07-10,Menü 3,143
2018-07-11,Menü 1,132
2018-07-11,Menü 2,156
2018-07-11,Menü 3,135
2018-07-12,Menü 1,111
2018-07-12,Menü 2,242
2018-07-12,Menü 3,64
2018-07-13,Menü 1,54
2018-07-13,Menü 2,153
2018-07-13,Menü 3,165
2018-07-16,Menü 1,76
2018-07-16,Menü 2,166
2018-07-16,Menü 3,137
2018-07-17,Menü 1,116
2018-07-17,Menü 2,177
2018-07-17,Menü 3,126
2018-07-18,Menü 1,150
2018-07-18,Menü 2,126
2018-07-18,Menü 3,91
2018-07-19,Menü 1,39
2018-07-19,Menü 2,239
2018-07-19,Menü 3,66
2018-07-20,Menü 1,76
2018-07-20,Menü 2,79
2018-07-20,Menü 3,58
2018-07-23,Menü 1,79
